Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
Bisi Bisi,Kannada,Drama,0.0,0.1822,2004-01-22,"Ramesh Aravind, Anu Prabhakar, Shankar Rao, Madhuri Bhattacharya","Bisi Bisi is a 2004 Kannada film directed by Ramnath and produced by Ajay Chandani. The film stars Ramesh Aravind, Anu Prabhakar and Shankar Rao in lead roles. Music was composed by Milind Dharmasena.",0.0
Mojina Maduve,Kannada,Drama,0.0,0.1821,1993-01-01,"Devaraj, Tara, Disco Shanti, Mukhyamantri Chandru, Lohithaswa",,0.0
Olavu Geluvu,Kannada,"Family, Drama, Romance",9.0,0.1821,1977-11-17,"Dr. Rajkumar, Lakshmi, Sampath, Thoogudeepa Srinivas, Honnavalli Krishna","Olavu Geluvu is a 1977 Indian Kannada-language film, directed by H. R. Bhargava and produced by S. A. Srinivas. The film stars Rajkumar, Lakshmi, Balakrishna and Sampath. The film has musical score by G. K. Venkatesh.",1.0
Nagarahavu,Kannada,Drama,10.0,0.182,2016-10-16,"Vishnuvardhan, Diganth Manchale, Divya Spandana","Naganika's family is in charge of an ancient monument that Kapali has his eyes set on. When Kapali kills her to seek the monument, Naganika transforms into a snake in her next life to seek revenge.",1.0
Veera Parampare,Kannada,"Action, Drama",0.0,0.1819,2010-10-29,"Sudeep, Ambareesh, Aindrita Ray, Vijayalakshmi Singh, Shobaraj",A respected man residing in a village attempts to protect its sanctity from wicked industrialists who are trying to invade the village for their personal benefit.,0.0
Bairagee,Kannada,"Action, Drama",4.0,0.1814,2022-07-01,"Shivaraj Kumar, Dhananjay, Pruthvi Ambaar, Anjali, Yasha Shivakumar",,2.0
Tora Tora,Kannada,"Comedy, Science Fiction",0.0,0.1814,2017-12-22,"Manju Heddur, Saniha Yadav, Pooja Raju, Priyanka Arora, Surya Ninasam","A gang of seven college students accidentally come across a time machine and they decide to use it, to change their past. However, later they find out that changing the past could cause total chaos and annihilation.",0.0
Visions of Mookajji,Kannada,Drama,10.0,0.1804,2019-11-29,"Jayashree B., Aravind Kuplikar, Nandini Vittal, Rameshwari Varma, Pragathi Prabhu","An 80-year-old widow with extra-sensory perceptions can see the history behind the objects she touches, through which she comments on evolution of culture, concepts of God, religion, relationships, humans and their sexuality, etc.",1.0
Bettada Hoovu,Kannada,"Comedy, Drama, Family",8.0,0.1804,1985-01-01,"Puneeth Rajkumar, Padma Vasanthi, T. N. Balakrishna, Sadashiva Brahmavar, Honnavalli Krishna","Ramu, a poor boy and an avid reader, works hard and saves money to buy his favourite book. But, situations drive him to take a hard decision when his family members suffer in cold weather.",2.0
Parajitha,Kannada,Drama,0.0,0.1799,1982-01-01,"Srinivasa Murthy, Aarathi, Jai Jagadish, Aruna Mucherla, K. S. Ashwath",,0.0
Ravi Shastry,Kannada,"Drama, Comedy",0.0,0.1795,2006-09-28,"V. Ravichandran, Sneha, Anant Nag, Doddanna, Vinaya Prasad","Ravi Shastry, a barber's son, pretends to be a Brahmin to secure a livelihood. His wedding to Bhanu, the Brahmin community head's daughter, is stalled when his bluff is called.",0.0
Powder,Kannada,Drama,0.0,0.1793,2024-04-05,"Diganth Manchale, Dhanya Ramkumar, Sharmiela Mandre, Rangayana Raghu, Achyuth Kumar",A small village and revolves around a group of miscreants in pursuit of a valuable treasure.,0.0
Sipayi Ramu,Kannada,"Family, Drama",9.0,0.1789,1972-02-04,"Dr. Rajkumar, Leelavathi, Aarathi, K. S. Ashwath, Thoogudeepa Srinivas","Sipayi Ramu is a 1972 Indian Kannada language film directed by Y. R. Swamy, based on the novel Barale Innu Yamune? by Nuggehalli Pankaja. The 2012 Hindi movie Paan Singh Tomar, based on the life of an Indian soldier turned dacoit Paan Singh Tomar had a similar storyline. This was also the first Kannada colour movie which was based on a novel.",2.0
Mafia,Kannada,"Action, Crime",0.0,0.1788,2024-07-26,"Prajwal Devaraj, Aditi Prabhudeva, Devaraj, Shine Shetty, Vasuki Vaibhav",,0.0
Abhi,Kannada,"Romance, Comedy",6.0,0.1787,2003-04-25,"Puneeth Rajkumar, Divya Spandana, Sowcar Janaki, Sumithra, Suneel Puranik","Neighbors Abhi and Bhanu fall in love, but Bhanu's father comes to know about it and shifts to Hubli. Later, Bhanu runs away to Bangalore to tell a hidden truth to Abhi.",2.0
Care of Footpath 2,Kannada,Drama,0.0,0.178,2015-11-06,"Avika Gor, Esha Deol, Deepp Pathak, Dingri Naresh, Karthik Jayaram",An emotional suspense thriller inspired by true stories of juvenile delinquents in the India. Four teenage friends are provoked to plan and execute the murder of a cop.,0.0
Gajakessari,Kannada,"Romance, Action",4.8,0.1778,2014-05-23,"Yash, Amulya, John Vijay, Anant Nag, Prabhakar",,6.0
Buddhivantha,Kannada,Drama,7.0,0.1772,2008-09-26,"Upendra, Pooja Gandhi, Brinda Parekh, Saloni Aswani, Natanya Singh",A 2008 Kannada film.,1.0
Samhaara,Kannada,"Action, Thriller",5.0,0.1771,2018-02-09,"Chiranjeevi Sarja, Hariprriya, Chikkanna, Kavya Shetty","Samhaara is a 2018 Indian Kannada action thriller directed by Guru Deshpande. It features Chiranjeevi Sarja, Hariprriya and Kavya Shetty along with Chikkanna in the lead roles",1.0
Santhu Straight Forward,Kannada,"Action, Drama, Romance",4.8,0.1767,2016-10-28,"Yash, Radhika Pandit, Shaam, Sneha Acharya, Devaraj",,4.0
Gantumoote,Kannada,"Drama, Romance",7.3,0.1762,2019-10-18,"Teju Belawadi, Nischith korodi, Ram Manjjonaath, Roopa Rao, Surya Vasishta","A 16-year-old girl embarks on a journey of life where she deals with understanding herself, the changing world, bullying, academic pressure and her transcending journey of first love.",5.0
Raaghu,Kannada,"Drama, Thriller",7.0,0.1759,2023-04-28,Vijay Raghavendra,"A medicine delivery executive loots the houses he delivers to make quick bucks. One day, a phone call from a stranger forces him to do a series of unlawful activities, failing which he could face dangerous consequences.",1.0
Lineman,Kannada,"Comedy, Drama",0.0,0.1742,2024-03-15,"Thrigun, Jayashreedevi, Mico Nagaraj, Apoorva, Sujay Shastri","In the quaint village of Chandakavadi, Nata is a dynamic, educated, and principled young man employed as a lineman, responsible for managing the power supply in the area. Amidst them resides Sharadamma, an elderly midwife renowned for conducting countless successful deliveries. As the townsfolk prepare to celebrate Sharadamma's remarkable 100th birthday, she persuades the entire village to endure a few days without electricity until the celebration concludes. The film questions whether the villagers of Chandakavadi withstand the challenges until power is restored.",0.0
Baa Baaro Rasika,Kannada,"Drama, Thriller",0.0,0.1734,2004-06-03,"Ramya Krishnan, Sunil Raoh, Ashitha Chandrappa, Vinayak Joshi, Ramesh Bhat","Vishwa and Sona are in love and all set to get married. But trouble strikes when Ramya, a middle-aged man-hater and Vishwa's boss, falls madly in love with him.",0.0
Savaari,Kannada,"Drama, Romance",0.0,0.1732,2009-04-10,"Raghu Mukherjee, Kamalinee Mukherjee, Srinagar Kitty, Suman Ranganathan, H. G. Dattatreya",,0.0
Goadalli C.I.D 999,Kannada,"Thriller, Action",8.0,0.173,1968-11-22,"Dr. Rajkumar, T. R. Narasimharaju, Lakshmi, Shakti Prasad, Jyothi Lakshmi","Goadalli CID 999 is a 1968 Indian Kannada-language spy thriller film written, directed and produced by DoraiBhagavan duo. The film starred Rajkumar in the lead role as a detective. Popular Indian actress Lakshmi made her debut in Kannada cinema with this film. Sri Lankan based actress Sabeetha Perera also made her Indian movie debut with this film. The film had musical score by G. K. Venkatesh with lyrics by R. N. Jayagopal.The film met with highly positive response upon release and paved the way for many more such Bond style of movies in the combination of the director duo with lead actor Rajkumar.",1.0
Thaayige Thakka Maga,Kannada,"Family, Drama",10.0,0.1727,1978-12-13,"Dr. Rajkumar, Padmapriya, Sowcar Janaki, T. N. Balakrishna, Puneeth Rajkumar","At his detective wife's request, a young man joins a boxing club to find out about the illegal activities carried out by the head of the establishment.",1.0
Mayor Muthanna,Kannada,"Drama, Family",9.0,0.1722,1969-10-24,"Dr. Rajkumar, M. P. Shankar, Rajanand, Bharathi Rao, Dwarakish","Muthanna, a kind and principled man, becomes mayor through justice and service. Coming from a humble background, he earns the citizens' respect with his integrity. However, corrupt politicians and enemies challenge his good governance. Muthannas journey is tough, as he fights corruption and faces personal struggleshis dedication to righteousness and his sacrifices for the greater good shine through. A powerful drama filled with emotion and stellar performances, Mayor Muthanna is a landmark Kannada film known for its ethical themes.",1.0
Chandrodaya,Kannada,Drama,0.0,0.1716,1999-02-05,"Shivaraj Kumar, Ramesh Aravind, Prema","This story revolves around Divya, who succumbs to family pressure and marry Chandrakumar.Later Chandrakumar comes to know of Divya's past life and gets shocked.What could it be?",0.0
Chaarulatha,Kannada,"Thriller, Drama",5.833,0.1716,2012-09-21,"Priyamani, Skanda Ashok, Saranya Ponvannan, Seetha, P. Ravi Shankar",,6.0
Rajani,Kannada,Drama,0.0,0.1707,2011-01-01,"Upendra, Ramesh Bhatia, Aarti Chabria, Mukul Dev, Sadhu Kokila",A 2011 Kannada action film.,0.0
Firefly,Kannada,"Adventure, Comedy, Drama",0.0,0.17,2025-04-24,"Vamshi Krishna, Rachana Inder, Sudharani, Achyuth Kumar, Shivaraj Kumar",,0.0
Sathyavan Savithri,Kannada,"Comedy, Drama",7.0,0.1698,2007-12-16,"Ramesh Aravind, Jennifer Kotwal, Mohan Shankar, Aniruddh, Komal Kumar","Sathyavan Savithri is a 2007 Kannada film directed by Ramesh Aravind and produced by Ajay Chandani. The film stars Ramesh Aravind, Jennifer Kotwal, Mohan Shankar, and Aniruddh in lead roles. Gurukiran composed the Music.  Sathyavan, a dentist, flirts with women and does not believe in marriage. But when his grandfather decides to donate their ancestral property, Sathyavan reconsiders his decision to get married.",1.0
Amma I Love You,Kannada,Drama,1.0,0.1694,2018-05-13,"Chiranjeevi Sarja, Nishvika Naidu, Sithara, Chikkanna, Prakash Belawadi","On the advice of a saint, a rich man crosses all boundaries to restore his mother's health as she is on her deathbed. In order to do that, he must turn into a beggar for 48 days",1.0
Aryan,Kannada,Romance,3.0,0.1691,2014-07-25,"Shivaraj Kumar, Divya Spandana, Raghu Mukherjee, Sarath Babu, Bullet Prakash",,2.0
Siddhartha,Kannada,"Action, Romance",2.0,0.1689,2015-01-23,"Vinay Rajkumar, Apoorva Arora, Alok Babu, Ashish Vidhyarthi, Achyuth Kumar","Siddu alias Sidharth (Vinay Rajkumar), a singer and a guitarist and Khushi (Apoorva Arora). While Siddu is a happy-go-lucky boy, Khushi is rather possessive and wants all his attention. When their families agree to get them hitched, Siddu seeks a 20-day break from Khushi to lead a carefree life with his friends. But there's a catch. Khushi's not allowed to meet, call or text him during this period. Khushi, being her clingy self, is not able to live without him. After 20 days, an angry Khushi tells Siddu that she also wants to take a one-year break from him and go to London for higher studies. Siddu agrees. The story takes an interesting turn when Khushi returns with her new lover Rahul. Naturally, Siddu, who's been eagerly waiting for her, is devastated. Will he be able to win her back?",1.0
Annayya,Kannada,Drama,0.0,0.1689,1993-03-22,"V. Ravichandran, Madhoo, Aruna Irani, Srinath","The story of Annayya, who is the only child of a rich Landlord and had lost his mother at the time of his birth. Annayya's father can provide him anything he wants, but Annayya's only desire is to get a mother's love.",0.0
Samarthya,Kannada,"Romance, Action",0.0,0.1688,2024-12-30,"Shobraj, Avinash, Balaji Sarma, Gagana, Swathi","Krishna and Megha, who fall in love at first sight, get married and live happily till Megha goes missing. A lookout for Megha eventually uncovers the devastating truth behind the case that leads to Krishna's Samarthya.",0.0
Preethse,Kannada,Drama,0.0,0.1687,2000-01-01,"Upendra, Sonali Bendre, Shivaraj Kumar",,0.0
Drishya,Kannada,"Crime, Drama, Thriller",7.3,0.1683,2014-06-20,"V. Ravichandran, Navya Nair, Achyuth Kumar, Prabhu, Rohith Bhanuprakash","Rajendra is a family-oriented man and tries to keep them happy. However, when his family commits an accidental crime, he does everything to keep them out of harm's way.",6.0
Soundarya,Kannada,Drama,0.0,0.1681,2007-04-20,"Ramesh Aravind, Rahul Dev, Shriya Sharma, Avinash, Rudresh Nagasandra","Soundarya film is the upper middle class family story who is an industrialist, his wife and daughter are dragged in the mafia land dealings.But he want to lead a peaceful life.mafia threaten the life.Finally, he involves in a criminal action innocently.",0.0
Dharani Mandala Madhyadolage,Kannada,"Drama, Family",0.0,0.1679,1983-06-16,"Srinath, Jai Jagadish, Padma Vasanthi, S.R. Puttanna Kanagal, Chandrashekhar",Upcoming Kannada Film starring Naveen Shankar & Aishani Shetty in the lead roles,0.0
100,Kannada,"Crime, Thriller, Drama",7.0,0.1677,2021-11-19,"Ramesh Aravind, Poorna, Rachita Ram, Vishwa Karna, Prakash Belawadi","Honest police officer Vishnu seems to have the perfect professional and personal life. When a stranger named Harsha, who manipulates and cheats women online, enters his life, he's in for a roller-coaster ride.",3.0
Ratnamanjari,Kannada,"Action, Drama, Thriller",0.0,0.1676,2019-05-17,"Akhila Prakash, Charan Raj, Jeyamohan, Pallavi Raju, Raju Vaividya","A gripping thriller set in the backdrop of USA and Madikeri, the movie is inspired by real incident which revolves around a murder mystery.",0.0
Mr.Rani,Kannada,"Comedy, Drama",0.0,0.1671,2025-02-07,"Deepak Subramanya, Parvatii Nair, Srivatsa Shyam, Madhu Chandra",,0.0
Ikkat,Kannada,Comedy,4.0,0.167,2021-07-21,"Nagabhushana N S, Bhoomi Shetty, Sundar, Anand Ninasam, Vikesh Muninanjappa",A couple on the verge of divorce have to stay together during lockdown as a nasty surprise awaits them.,1.0
Lakshmana,Kannada,Drama,0.0,0.1667,2016-06-24,"John Kokken, Meghana Raj, V. Ravichandran, Chikkanna, Pradeep Ram Singh Rawat",Lakshmana (Kannada: ) is a 2016 Indian Kannada language action film directed and written by R. Chandru. The film features newcomer Anoop and Meghana Raj in the lead roles with V. Ravichandran playing an important supporting role. The soundtrack and original score is composed by Arjun Janya whilst the cinematography is by Santhosh Rai Pathaje. The film is reportedly inspired from the Telugu film Athanokkade (2005) directed by Surender Reddy.,0.0
Tananam Tananam,Kannada,"Music, Romance, Drama",0.0,0.1664,2006-11-24,"Shaam, Divya Spandana, Rakshita, Girish Karnad, Bharathi Rao",,0.0
Shivaji Surathkal 2: Mysterious case of Maayavi,Kannada,"Crime, Thriller",1.0,0.1663,2023-04-14,"Ramesh Aravind, Radhika Narayan, Meghana Gaonkar, Raaghu Raamanakoppa, Vidya Murthy","A serial killer is on the loose and the onus is on Karnatakas Sherlock Holmes, Shivaji Surathkal, to catch him. The case becomes complex just when Shivaji is about to solve it. Four murders, a ticking clock and no clues; can Shivaji stop the next murder and save the victim?",1.0
Inthi Ninna Preethiya,Kannada,"Romance, Drama",9.0,0.1661,2008-02-29,"Srinagar Kitty, Sonu Gowda, Bhavana Ramanna, Rangayana Raghu, S. P. Balasubramaniam","Rajeev dejected in life, after he is unable to marry his girl Namana hits the bar. Rajeev is married off to parimala, by his brother with a hope that he mends his ways. His struggle with his addiction forms the plot.",1.0
Premam Poojyam,Kannada,Romance,10.0,0.166,2021-11-12,"Prem Kumar, Brinda Acharya, Aindrita Ray, Malavika Avinash, Avinash",Premam Poojyam movie is a romantic action entertainer directed by Raghavendra and produced by Dr Rakshit Kedambadi and Dr Rajkumar Janakiraman while Dr Raghavendra BS scored music for this movie.  Prem Kumar is playing the main lead role and this is his 25th Movie.,1.0
Mr. Natwarlal,Kannada,"Action, Thriller",0.0,0.1659,2024-02-23,"Tanush Shivanna, Sonal Monteiro, Nagabhushana N S, Rajesh Natranga, Yash Shetty","Inspired by the biggest con king of India from the 1950s whose expertise in hacking and online manipulations makes him uncatchable, earning the title of Mr. Natwarlal.",0.0
Ellidde Illi Tanaka,Kannada,"Drama, Romance",3.0,0.1655,2019-10-11,"Hariprriya, Sujan Lokesh, Sadhu Kokila, Avinash, Mandya Ramesh","Surya, the son of a rich industrialist, is cupid struck when he chances upon Nandini. The trouble is that the relationship is built on a web of lies? Will he find his happily-ever-after?",2.0
AK 56,Kannada,Action,0.0,0.1654,2012-02-10,"Siddhant, Sherin Shringar, Sumalatha, Atul Kulkarni",AK 56 is a 2012 Indian Kannada-language action film written and directed by Om Prakash Rao,0.0
College Kumar,Kannada,"Comedy, Drama, Romance",5.7,0.1648,2017-11-10,"Samyuktha Hegde, P. Ravi Shankar, Shruti, Achyuth Kumar, Sadhu Kokila","Shivakumar works as a peon in an office and strives to ensure that his son Kumar fulfils his dreams. When the pressure gets to Kumar, he starts to rebel against his father.",3.0
Killing Veerappan,Kannada,"Crime, Action",7.3,0.1648,2016-05-27,"Shivaraj Kumar, Sandeep Bharadwaj, Sadh Orhan, Yagna Shetty, K.S. Sridhar","A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",6.0
Mugulu Nage,Kannada,Drama,8.0,0.1643,2017-09-01,"Apoorva Arora, Nikitha Narayan, Ashika Ranganath, Rangayana Raghu, Jaggesh","Pulkesh is a very usual guy with an always smiling character. He stays in Mysuru with his father who is a history teacher, his mother who is an housewife also an art lover and his sister who goes to college. The very odd and interesting thing about Pulkesh is that he has never cried from the time he was born.",1.0
The Terrorist,Kannada,Thriller,0.0,0.1641,2018-10-18,"Keerthi Bhanu, Ragini Dwivedi, Ravi Bhatia, Shashikanth Gatti, Manu Hegde","The lives of two sisters, Reshma and Asma, is thrown into disarray when Reshma receives a call about Asma's kidnapping.",0.0
Rana Vikrama,Kannada,"Action, Drama",5.0,0.1641,2015-04-10,"Puneeth Rajkumar, Vikram Singh, Anjali, Adah Sharma, Girish Karnad",,2.0
Arjun Gowda,Kannada,"Crime, Action, Drama",8.0,0.1639,2021-12-31,"Prajwal Devaraj, Priyanka Thimmesh, Sparsha Rekha, Rahul Dev, Sadhu Kokila",,1.0
Yaare Koogadali,Kannada,"Action, Thriller",0.0,0.1629,2012-12-20,"Puneeth Rajkumar, Bhavana, Yogesh, Sindhu Lokanath, Girish Karnad",Kumara and Natesa escape from their village and settle in the city. Later they start to work at a gas station. Soon they are chased by a gang of goons; while their actual truth is revealed.,0.0
Raja Huli,Kannada,"Comedy, Drama, Action",7.6,0.1624,2013-11-01,"Yash, Meghana Raj, Chikkanna, Vasishta N. Simha, Manju Mandavya","Raja Huli is a 2013 Indian Kannada-language comedy-drama film directed by Guru Deshpande and written by S. R. Prabhakaran. Produced by K. Manju's home production, the film is a remake of the Tamil film Sundarapandian (2012) which was produced and enacted by M. Sasikumar. The film stars Yash and Meghana Raj in the lead roles. The soundtrack and score for the film is composed by Hamsalekha. The film, which made its theatrical release on 1 November 2013, co-inciding with the Kannada Rajyotsava festival",5.0
LAW,Kannada,"Crime, Thriller, Drama",2.8,0.1623,2020-07-17,"Ragini Chandran, Mukhyamantri Chandru, Avinash, Achyuth Kumar, Sudharani",,4.0
Boregowda Bengalurige Banda,Kannada,"Family, Drama",6.0,0.1621,1970-07-08,"Rajesh, Leelavathi, Srinath, Vandana, Shakti Prasad","Boregowda Bengalurige Banda is a 1970 Indian Kannada-language film written and directed by B. A. Arasu Kumar, and produced by S. Shivashankarappa, Kalleshappa, Devaramuni Shanmukappa, H. M. Jayanna and S. D. Umapathi under the banner Sri Mallikarjuna Enterprises. It stars Rajesh and Leelavathi; B. Vijayalakshmi and Srinath feature in supporting roles. The title of the film is based on an adage which describes the predicament of a small town man struck by the glamour and glitz of the city.",1.0
Whistle,Kannada,"Romance, Horror, Thriller",7.0,0.1621,2013-07-12,"Chiranjeevi Sarja, Pranitha Subhash, Guruprasad","Whistle ....Hodi Magaa is an Indian Kannada film directed by Prashant Raj of Love Guru Fame. The story begins on a romantic note with Ram, a pizza delivery boy who marries his girlfriend Anu after she gets pregnant. The story takes a curious turn when Ram, who visits Smitha Bungalow to deliver pizza. The drama that follows in the haunted house is linked to diamonds. Its a remake of Tamil blockbuster 'Pizza'.",1.0
Sunflowers Were the First Ones to Know...,Kannada,"Fantasy, Drama",4.0,0.162,2023-06-12,"Jahangir MS, Master Vishwas, Vasudha Bharighat, Anup Gowda, Kushal BK","Once upon a time in a village, an old lady steals the rooster and the sun never rises again.",1.0
Om,Kannada,"Crime, Drama",5.8,0.1618,1995-05-16,"Shivaraj Kumar, Prema, Sadhu Kokila, Srishanthi, G.V. Shivanand","Satya, the son of a priest, leads a straightforward life until he meets the girl of his dreams. His love for her drags him into the world of crime, making him lose everyone he is close to.",9.0
Garadi,Kannada,Drama,0.0,0.1617,2023-11-10,"Sonal Monteiro, Yashas Surya",Garadi is the school of traditional Indian wrestling.Suri is a wannabe wrestler. His aim is to win the local wrestling championship. His guru snubs his talent.Guru's stance is that Suri's father & brother are criminals. He feels Suri might also become a criminal if he learns wrestling.He makes him do menial jobs instead of teaching him Garadi. In his free time Suri secretly practices wrestling.,0.0
Munnudi,Kannada,Drama,0.0,0.1617,2000-10-27,"Tara, H. G. Dattatreya, Shashikumar, Chaya Singh","A film based around the life of a Muslim woman, Rukhia Begum, set in the coastal regions of Dakshina Kannada. She gets married to an Arab businessman who later deserts her. The story essays Rukhia Begum's struggles to protect her daughter.",0.0
Love You Rachchu,Kannada,"Romance, Thriller",6.0,0.1613,2021-12-31,"Rachita Ram, Ajai Rao, Achyuth Kumar, Raghu Shivamogga, B Suresha",,1.0
Panchatantra,Kannada,Drama,0.0,0.1613,2019-03-29,"Vihan Gowda, Sonal Monteiro, Akshara Gowda, Bala Rajwadi, Deepak Shetty","A drama film directed by Yogaraj Bhat, starring Vihan Gowda and Sonal Monteiro in the lead roles.",0.0
Durgi,Kannada,Action,0.0,0.1609,2004-04-28,"Malashri, Ashish Vidhyarthi, Raghuvaran, Kalabhavan Mani, Avinash","Durgi was living happily with her family in a small village. But 2 businessmen entered the village to make a sugar mill. They used to be drunk always. One day, they raped her sister and she died in hospital. When Durgi and her family were in agony, they killed Durgi's father. After this, she promises to kill everyone.",0.0
Raaga,Kannada,Drama,0.0,0.1608,2017-04-21,"Mithra, Bhama, Avinash, Rangayana Raghu, Sadhu Kokila","Mithra is a blind man, whose happy-go-lucky demeanor and philosophies ensure that he is everyone's favourite. When a timid, insecure and rich blind girl, Anu, enters his life, he experiences a whole new feeling.",0.0
Case of Kondana,Kannada,"Crime, Thriller",5.0,0.1604,2024-01-26,"Vijay Raghavendra, Bhavana, Kushee Ravi, Rangayana Raghu, Bala Rajwadi","In the outskirts of Bangalore lies Kondana, a fiery ASI in a fictional Bangalore outpost, clashing with a local gangster. Meanwhile, his love life with Sahana faces hurdles. ACP Lakshmi hunts a notorious criminal, while Raju struggles to save his ailing son. As these lives intertwine, a singular case in Kondana becomes the focal point, linking them all in a tale of mystery and connection.",2.0
Brindavana,Kannada,"Drama, Comedy, Action",4.0,0.1601,2013-12-26,"Darshan Thoogudeepa Srinivas, Karthika Nair, Milana Nagaraj, Sai Kumar, Jai Jagadish","The main story of the movie is about two step brothers Saikumar and Sampath Raj. They are two big shots in a village and both of them are rivals. Karthika Nair and Milana Nagaraj are cousins from the Saikumar and Sampath Raj families. Karthika Nair stays in village, but Milana Nagaraj relocates to the city for her studies. Darshan lives in the same city. In an incident, Darshan helps Milana Nagaraj and they both become friends & finally fall in love.  Meanwhile, Karthika Nair 's marriage is settled with some goonda whom she does not want to marry. So, she asks the help of Milana Nagaraj. Milana Nagaraj tells the whole story to Darshan and asks his help. Darshan enters into the village with the intention to stop the marriage using some clever tricks. While doing that, he fixes many issues in the village and finally he makes both Saikumar and Sampath Raj to stop their rivalry and they all join together at the end.",3.0
Hondisi Bareyiri,Kannada,"Romance, Comedy, Drama",7.0,0.1597,2023-02-10,"Naveen Shankar, Aishani Shetty, Praveen Tej, Samyukta Hornad, Bhavana Rao",,1.0
Operation Jackpotnalli C.I.D 999,Kannada,Thriller,8.0,0.1592,1969-12-19,"Dr. Rajkumar, T. R. Narasimharaju, Surekha","Shekar, a nuclear scientist, creates Plasma Binson, a formula that can destroy any object on earth. Agent 999 is assigned the task of wiping out the formula for good.",1.0
Ganeshana Maduve,Kannada,"Romance, Comedy, Drama",0.0,0.1591,1990-01-01,"Anant Nag, Vinaya Prasad, Ramesh Bhat, Mukhyamantri Chandru, Vaishali Kasaravalli","Ganesha lives happily in a complex owned by Ramanamurthy. Things take a turn when he falls in love with Adilakshmi, the youngest daughter of Ramanamurthy who sings under the pseudonym Shruti.",0.0
Lakshmi,Kannada,"Drama, Action",0.0,0.159,2013-01-17,"Shivaraj Kumar, Priyamani, Saloni Aswani, Komal Kumar, Dilip Raj","Lakshmi is an action-suspense thriller, in which Shivaraj Kumar playing the title role while Priyamani in the female lead role. Lakshmi Narayana alias Lakshmi is a ruthless CBI officer. The film begins with the hero kidnapping a internationally-renowned dancer Akriti. While cops lead by Ravi Kaale capture Lakshmi, they are not aware of his true identity and assume that the kidnapper is being protected by powerful people. Little less they know that he has abducted a terrorist to find clues about his missing wife Priya aka Reshma (Priyamani) and it is believed that she cheated him and left with an underworld don. As he finds the culprits one after another, he gets an anonymous call that make him to come to Hong Kong. His mission is clear - find his wife and kill her along with the kingpin. How he finds his wife? What role does his wife play in the film? Answers to these questions will form the crux of the story.",0.0
Krishna Leela,Kannada,"Romance, Drama",8.0,0.1586,2015-03-20,"Ajai Rao, Mayuri Kyatari, Rangayana Raghu, Dharmendra Urs, Achyuth Kumar",Leela actress depressed with her father and on other hand Krishna actor suffering from daily tensions accidentally get connected on mobile lot of things get messed up and due to this Krishna has to forcefully marry leela will they stay together or get divorced.,4.0
Maanikya,Kannada,"Action, Thriller, Romance, Comedy, Drama",5.2,0.1586,2014-03-28,"Sudeep, V. Ravichandran, Ranya Rao, Varalaxmi Sarathkumar, Ramya Krishnan",A village strives to overcome the rivalry between two ancient factions.,4.0
Kittu Puttu,Kannada,"Family, Drama",9.0,0.1572,1977-12-09,"Vishnuvardhan, Dwarakish, Vaishali Kasaravalli, Loknath, M. P. Shankar","Kittu Puttu is a 1977 Indian Kannada-language comedy drama film directed by C. V. Rajendran and produced by Dwarakish. The film stars Vishnuvardhan, Dwarakish, Manjula, K. Vijaya and Vaishali Kasaravalli. The film was widely appreciated for its songs and story upon release. The songs tuned by RajanNagendra were huge hits.",1.0
Baalu Jenu,Kannada,Drama,5.0,0.1569,1976-12-10,Rajinikanth,"Geetha, who had a one-night stand with Chandru while in college, must struggle to keep it a secret from her husband, Ravi, and also deal with a blackmailer, Vasu.",1.0
The Island,Kannada,Drama,6.5,0.1569,2002-12-27,"Soundarya, Avinash, Vasudar Rao, Harish Raj","Located in the backwaters of a dam, Sita Parvata is an island slowly submerging due to the rains. The government succeeds in evacuating the residents by giving them compensation for the properties they own. The village temple priest Duggajja, his son Ganapa, and his daughter-in-law Nagi find it impossible to leave their homeland and make a living with the meager compensation given by the government. On the island, they are important people, but outside, they would be one among hundreds of families struggling to make a living. The film narrates the struggles of the family and how ultimately in the end they manage to continue life on the island.",6.0
Porki,Kannada,"Action, Crime",4.8,0.1567,2010-01-28,"Darshan Thoogudeepa Srinivas, Pranitha Subhash, Ashish Vidhyarthi, Sadhu Kokila, Avinash",A cop disguises as a gangster in order to capture a mafia leader.,5.0
Dubai Babu,Kannada,Drama,0.0,0.1567,2009-05-22,"Upendra, Nikita Thukral, Saloni Aswani",A 2009 Kannada film.,0.0
Sinnga,Kannada,Drama,0.0,0.1566,2019-07-19,"Chiranjeevi Sarja, P. Ravi Shankar, Aditi Prabhudeva","Sinnga (Chiranjeevi Sarja) is a short-tempered, which lands him in a lot of trouble with the police. His mother Janakamma (Tara) wants him to get married. When she spots Geetha (Aditi Prabhudeva) at a temple, she decides that Geetha could become her daughter-in-law. Sinnga also ends up falling for Geetha. But first, Sinnga has to take care of Rudraswamy (Ravishankar) who wants to exact revenge for public humiliation.",0.0
