Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
Ekadanta,Kannada,Drama,0.0,0.6265,2007-03-16,"Vishnuvardhan, Ramesh Aravind, Prema, Ramesh Bhat, Mimicry Dayanad",Ekadhantha revolves around a couple and they don't have child.,0.0
Dhruva,Kannada,"Action, Drama",0.0,0.6174,2002-09-13,"Darshan Thoogudeepa Srinivas, Sherin Shringar, Om Puri, Avinash, Datthatreya",An honest police officer who has taken an oath to clean up society must make some hard decisions when his friend becomes a criminal.,0.0
Anjaniputra,Kannada,"Action, Comedy, Romance",6.0,0.6099,2017-12-21,"Puneeth Rajkumar, Rashmika Mandanna, Ramya Krishnan, P. Ravi Shankar, Chikkanna","A small-time businessman who runs a finance business at a local vegetable market enjoys the support of the local vendors and people in the area. All goes well for him until one day, he saves an honest police officer from being killed by a local gangster. Soon, a rivalry ensues between the two.",8.0
Romeo,Kannada,"Romance, Comedy, Drama, Family",0.0,0.5708,2012-07-06,"Ganesh, Bhavana, Avinash, Rangayana Raghu, Sadhu Kokila",,0.0
Naanu Nanna Kanasu,Kannada,Drama,0.0,0.5659,2010-05-14,"Prakash Raj, Amoolya, Sithara, Ramesh Aravind, Sihi Kahi Chandru","Naanu Nanna Kanasu is the depiction of a fathers narration of his own coming-of-age, with the birth and growth of his daughter. It is a remake of tamil movie, Abhiyum Naanum.Uthappa (Prakash Raj), who encounters a chance to meet a young father Jayanth (Ramesh Aravind) and his daughter, on his morning walk. As they introduce themselves to each other, going past the hilarity of the nature of their rendezvous Uthappa begins to narrate to Jayanth how it was to bring up his own daughter, Kanasu (Amoolya).Sharing the better half of this journey of Uthappas, is his wife and soulmate Kalpana (Sithara) who is seen to be the saner voice in the Uthappa household. Being quite literally, a letter from a father to a daughter, the story stands testament to the oft-quoted",0.0
Bhairathi Ranagal,Kannada,"Action, Drama",8.3,0.5629,2024-11-14,"Shivaraj Kumar, Chaya Singh, Madhu Guruswamy, Babu Hirannaiah, Rukmini Vasanth",,3.0
Gaalipata 2,Kannada,Comedy,1.0,0.5551,2022-08-12,"Ganesh, Diganth Manchale, Pawan Kumar, Anant Nag, Nishvika Naidu","Life surprises you with its weird plans and events which changes our lives so much so that we can never go back to being what we were earlier. At such times we have to rise against the wind just like a kite does. It is the same with the story of Gaalipata 2. Its story is set in two different time zones, in two different places but with the same characters. It's about a turbulent yet fun filled journey of three friends and their love interests.",1.0
Shokiwala,Kannada,"Romance, Drama",0.0,0.5523,2022-04-29,"Ajai Rao, Sanjana Anand, Sharath Lohitashwa, Tabla Nani, Pramod Shetty",Shokiwala is a romantic action entertainer movie directed by Jocky B and produced by T R Chandrasekhar. The movie cast includes Krishna Ajai Rao and Sanjana Anand are in the lead roles while Shridhar V Sambhram scored music.,0.0
Vande Mataram,Kannada,Drama,0.0,0.5523,1985-01-01,"Rajashekar, Vijayashanti, Rajendra Prasad",,0.0
Hollywood,Kannada,Drama,7.2,0.5468,2002-12-06,"Upendra, Felicity Mason, Anant Nag, Ramesh Bhat, Emma Dean","Hollywood is a 2002 Indian Kannada science fiction film written by Upendra and directed by Dinesh Babu. It stars Upendra in a triple role as Surendra, Upendra and US 47 (a robot) along with the Australian actress Felicity Mason as Manisha and Anant Nag. The film was shot entirely in Gold Coast, Australia with few supporting actors and a monkey named Lakshmi, voiced by Ramesh Bhat. The film was also dubbed into Telugu in 2003, retaining the same title.",5.0
James,Kannada,"Action, Comedy, Drama",5.9,0.5448,2022-03-17,"Puneeth Rajkumar, Shivaraj Kumar, Priya Anand, R. Sarathkumar, Srikanth","Santhosh Kumar, who goes by the name James, runs a security agency and has been commissioned to take care of a family that owns a drug cartel. He is swift, agile and deft with his work and wins the appreciation of everyone. But is there more to who Santhosh really is?",8.0
Toxic,Kannada,"Action, Thriller",0.0,0.544,2026-03-19,"Yash, Nayanthara, Huma Qureshi, Kiara Advani, Sudev Nair","Set in a bygone era, this gripping tale unfolds in the coastal paradise of Goa, where a powerful drug cartel pulls the strings behind a facade of sun-soaked beaches and vibrant culture.",0.0
Kiraathaka,Kannada,"Comedy, Drama, Family",7.0,0.54,2011-06-24,"Yash, Chikkanna, Oviya Helen, T. S. Nagabharana","Kirataka is a 2011 Indian Kannada romantic comedy film directed by Pradeep Raj, starring Yash and Oviya in the lead roles. It is the remake of Tamil film, Kalavani (2010). The film was a success at the domestic box-office. This was the 3000th Kannada movie to be released.  The film is centered around the rivalry between two neighboring villages with rival gangs in both competing in every aspect. Nandisha (Yash), also known as Gooli is a road side romeo with no real direction to his life. He is flanked by his friends who support him in every act. Meanwhile, he falls in love with Nethra (Oviya), a girl studying at a college in the neighboring town. The rest of the movie revolves around how Gooly manages to win over Nethra despite the rivalry.",3.0
The Villain,Kannada,"Action, Crime",5.125,0.5333,2018-05-31,"Shivaraj Kumar, Sudeep, Amy Jackson, Srikanth, Mithun Chakraborty","Rama or Ravana, whose ideologies work better? Two shrewd minds battle it out in a one-upmanship game. Who will win?",8.0
Adhyaksha,Kannada,Comedy,3.5,0.5251,2014-08-15,"Sharan, Hebah Patel, Chikkanna, P. Ravi Shankar, Asmita Sood","Adhyaksha is a 2014 Indian Kannada language comedy film directed by Nanda Kishore. It stars Sharan, Heeba Patel, P. Ravi Shankar, Malavika Avinash, Chikkanna and Ramesh Bhat. It is a remake of the Tamil film Varuthapadatha Valibar Sangam.  The music for the film and soundtracks were composed by Arjun Janya.",2.0
Pogaru,Kannada,Action,3.7,0.5175,2021-02-19,"Dhruva Sarja, Rashmika Mandanna, Dhananjay, P. Ravi Shankar, Sampath Raj",,3.0
Kranti,Kannada,"Action, Thriller",4.8,0.5118,2023-01-26,"Darshan Thoogudeepa Srinivas, Rachita Ram, V. Ravichandran, Sumalatha, Tarun Arora","Kranti Rayanna, a business tycoon in Europe is invited by his favorite teacher to attend the Centenary celebrations of the school. Kranti begins a revolution and takes the fight on with Salatri Group trying to takeover 12,000 government schools and privatize them.",5.0
Gilli,Kannada,"Romance, Drama, Comedy",0.0,0.3766,2009-10-16,"Gururaj Jaggesh, Rakul Preet Singh, Sudha Belawadi, Srinivasa Murthy, Yathiraj Jaggesh","Guru a.k.a. Gilli is a young underachiever who frequently vents his frustrations through public outbursts. When Anitha, whose family has fallen on hard times, moves into his housing colony, he soon decides to pursue her with his love, but she keeps rejecting his advances.",0.0
Maleyali Jotheyali,Kannada,"Comedy, Drama",0.0,0.3091,2009-12-11,Ganesh,Preetham escapes from his wealthy father who's hounding him to get married after an astrologer tells that it will be good for the family and meets two interesting girls on his way.,0.0
