Title,Language,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count
parugu,telugu,"action, romance",5.8,0.3546,5/1/2008,"allu arjun, prakash raj, sheela kaur, sunil varma, saptagiri",unknown,26.0
krishnam vande jagadgurum,telugu,"action, crime",5.6,0.3543,11/30/2012,"rana daggubati, nayanthara, kota srinivasa rao, murali sharma, brahmanandam",a boy is adopted by his grandfather after his parents are murdered. he grows up to be an actor to honor a promise to his dying grandfather that he would perform in a play in his native village. the performance leads him to his parents' murderers.,7.0
rowdy boys,telugu,"action, romance",7.0,0.3542,1/13/2022,"ashish reddy, anupama parameswaran, komalee prasad, vikram sahidev, karthik rathnam","akshay, an engineering student, does everything on impulse, falls for kavya (a bright medico) at first sight. due to an incident in her college, kavya decides to begin a live-in relationship with akshay. her classmate vikram (vikram saahidev), who admires her, vows not to remain silent.",1.0
srinivasa kalyanam,telugu,"drama, family",5.3,0.354,8/9/2018,"nithiin, raashii khanna, nandita swetha, prakash raj, jayasudha",the film highlights the sacred bond with another human being through nuptial rituals and the sanctity of the institution of marriage.,7.0
sainikudu,telugu,"action, adventure",6.3,0.3536,11/30/2006,"mahesh babu, trisha krishnan, irrfan khan, prakash raj, ajay","siddharth and his friends rescue a village in warangal from severe floods. sidhartha is convinced that govt will give some relief package to the flood effected. some time later he realizes that pappu yadav hogged on the relief fund before it reached the effected. pappu yadav is now contesting in elections and sidhu goes against him with his friend. the fight between the two starts on from then on. after a few twists, sidhartha kidnaps the fiancee of pappu yadav, varalaxmi. siddharth is now hunted by both police and villains.",14.0
love story,telugu,"romance, drama",7.615,0.353,9/24/2021,"naga chaitanya akkineni, sai pallavi, devayani, rajiv kanakala, easwari rao","revanth and mouni dream big when it comes to their lives. but with their social standing and gender proved to be a hindrance, will they manage to find a way to let their love prevail?",13.0
deyyam,telugu,horror,6.0,0.3498,4/12/2021,dr. rajasekhar,"murali and sindhu, bought a new farm house in the suburbs of hyderabad. the problem comes when sindhu's son starts making imaginary friends in their new home. it is later then revealed that his ""imaginary friends"" are ghosts and they have been telling their son to move out of their house.",0.0
dhammu,telugu,"action, drama",4.5,0.3498,4/27/2012,"n.t. rama rao jr., trisha krishnan, karthika nair, kota srinivasa rao, chalapathi rao","rama chandra, an orphan, gets involved in a feud between two royal families while trying to woo sathya, his lady love. he soon realises that the lives of his fellow villagers depend on his choices.",15.0
lover,telugu,"action, romance, drama",7.0,0.3495,7/20/2018,"raj tarun, riddhi kumar, rajiv kanakala, subbaraju, sachin khedekar","raj is carefree custom-bike maker who yearns for a family of his own. charita is a responsible nurse who wants to lead a life that is worth something. however, when she gets embroiled in a deadly conspiracy, how will the lovers get out of the dangerous situation?",1.0
vaana,telugu,"drama, romance",4.0,0.3495,1/15/2008,"vinay rai, meera chopra, suman talwar, jayasudha, seetha","vaana (translation: rain) is a 2008 telugu film starring vinay rai and meera chopra in the lead roles, while suman plays a supporting role. m.s. raju produces and directs this film while debutant, kamalakar composed music for the project. it is a remake of kannada language film, mungaru male. the film was dubbed and released in tamil as gnabagangal thaalattum.",1.0
jayasimha,telugu,drama,6.0,0.2611,8/25/1955,"n.t. rama rao, anjali devi, waheeda rehman, s. v. ranga rao, relangi venkata ramaiah","inspired from the telugu novel veera pooja, the film tells the story of jayasimha (played by rama rao), the crown prince of malawa kingdom who escapes assassination attempts from his uncle rudrasimha (ranga rao), who wishes to ascend the throne as the next king. jayasimha leaves malawa assuming a new identity and leads the life of a soldier in magadha kingdom.",0.0
choodalani vundi,telugu,drama,5.688,0.3135,9/11/1998,"chiranjeevi, anjala zaveri, soundarya, prakash raj, teja sajja","ramakrishna (chiranjeevi) is a mechanic whose life changes when he meets priya (anjala zaveri) at a train station. she sees him and feels some inexplicable connection and runs away with him to flee her father, mahendra's (prakash raj) goons. they end up living in the forest with their son, but her father, who is an underworld don, kidnaps her so that he can marry her off to another don's son. ramakrishna confronts her father and in the ensueing struggle priya takes the bullet shot at her husband and dies. their son, because of the shock, loses his voice and ramakrishna is jailed. mahendra takes the boy away to kolkata, where the story originally started. rama krishna with the help of padmavathi (soundarya) reunites with his son.",8.0
maya petika,telugu,"fantasy, comedy, thriller",4.0,0.2464,6/30/2023,"viraj ashwin, payal rajput, rajath raghav, simrat kaur, sunil varma","follows the journey of a brand new smartphone that changes hands from one person to another and how the lives of all who possess it starting from popular actress payal and her fiancee pranay, mayor malliswari, corporator kameshwar rao, car mechanic ali, aasra, watchman narayana, his wife, thief srinu get affected.",2.0
indra,telugu,"drama, action",6.423,0.3137,7/24/2002,"chiranjeevi, sonali bendre, aarthi agarwal, mukesh rishi, sivaji sontineni","a man embarks on a quest to make peace between two families fighting over the water problem in their district. in a bid to solve this crisis, he agrees to marry a girl from the rival family.",13.0
thimmarusu: assignment vali,telugu,"crime, thriller",7.8,0.1335,7/30/2021,"satyadev kancharana, priyanka jawalkar, ajay, brahmaji, harsha chemudu","after a cab driver is found dead, a young pub employee is framed for the murder and is sent to jail for 8 years. when he comes out on parole, a young lawyer takes up the case to prove his innocence.",5.0
rudrangi,telugu,"action, drama",7.0,0.3028,7/7/2023,"jagapati babu, mamta mohandas, ashish gandhi, ganavi laxman, vimala raman","set during the 1940s, bheem rao deshmukh, a ruthless monarch and womanizer, rules rudrangi and treats the local people there as his slaves.one day bheem rao comes across a woman named rudrangi, and he falls for her beauty. bheem rao badly wants to have a sexual encounter with rudrangi, and tyrannizes an entire village of rudrangi fulfill his lust.",2.0
